airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
TIA,TIA,Tirana Rinas,Tirana,Albania,41.414742,19.720561,ALL,0.007237,143.208
EVN,EVN,Zvartnots,Yerevan,Armenia,40.147275,44.395881,AMD,0.001981,505.005
LWN,LWN,Gyumri,Gyumri,Armenia,40.750369,43.859342,AMD,0.001981,505.005
CUR,CUR,Hato,Willemstad,Curacao,12.188853,-68.959803,ANG,0.5331,1.9184
SXM,SXM,Princess Juliana Intl,Philipsburg,Sint Maarten,18.040953,-63.1089,ANG,0.5331,1.9184
SSY,SSY,Mbanza Congo,M'banza-congo,Angola,-6.269897,14.247025,AOA,0.008944,112.947
BUG,BUG,Benguela,Benguela,Angola,-12.609025,13.403711,AOA,0.008944,112.947
CAB,CAB,Cabinda,Cabinda,Angola,-5.596992,12.188353,AOA,0.008944,112.947
NOV,NOV,Huambo,Huambo,Angola,-12.808878,15.760547,AOA,0.008944,112.947
SVP,SVP,Kuito,Kuito,Angola,-12.404633,16.947414,AOA,0.008944,112.947
LAD,LAD,Luanda 4 De Fevereiro,Luanda,Angola,-8.858375,13.231178,AOA,0.008944,112.947
MEG,MEG,Malanje,Malanje,Angola,-9.525086,16.312406,AOA,0.008944,112.947
SPP,SPP,Menongue,Menongue,Angola,-14.657583,17.719833,AOA,0.008944,112.947
GXG,GXG,Negage,Negage,Angola,-7.754506,15.287728,AOA,0.008944,112.947
PBN,PBN,Porto Amboim,Porto Amboim,Angola,-10.721956,13.765528,AOA,0.008944,112.947
VHC,VHC,Saurimo,Saurimo,Angola,-9.689067,20.431875,AOA,0.008944,112.947
SZA,SZA,Soyo,Soyo,Angola,-6.141086,12.371764,AOA,0.008944,112.947
SDD,SDD,Lubango,Lubango,Angola,-14.924733,13.575022,AOA,0.008944,112.947
LUO,LUO,Luena,Luena,Angola,-11.768086,19.897672,AOA,0.008944,112.947
UGO,UGO,Uige,Uige,Angola,-7.603067,15.027822,AOA,0.008944,112.947
XGN,XGN,Xangongo,Xangongo,Angola,-16.755417,14.965344,AOA,0.008944,112.947
MSZ,MSZ,Namibe Airport,Mocamedes,Angola,-15.261222,12.146756,AOA,0.008944,112.947
VPE,VPE,Ondjiva Pereira Airport,Ondjiva,Angola,-17.043464,15.683822,AOA,0.008944,112.947
DUE,DUE,Dundo Airport,Dundo,Angola,-7.40089,20.8185,AOA,0.008944,112.947
CBT,CBT,Catumbela Airport,Catumbela,Angola,-12.4792,13.4869,AOA,0.008944,112.947
LBZ,LBZ,Lucapa Airport,Lucapa,Angola,-8.443056,20.732222,AOA,0.008944,112.947
KNP,KNP,Kapanda Airport,Kapanda,Angola,-9.771944,15.456111,AOA,0.008944,112.947
RAF,RAF,Aeropuerto de Rafaela,Rafaela,Argentina,-31.282072,-61.501594,ARS,0.1081,9.2657
COC,COC,Comodoro Pierrestegui,Concordia,Argentina,-31.296944,-57.996631,ARS,0.1081,9.2657
GHU,GHU,Gualeguaychu,Gualeguaychu,Argentina,-33.010278,-58.613056,ARS,0.1081,9.2657
PRA,PRA,General Urquiza,Parana,Argentina,-31.794778,-60.480361,ARS,0.1081,9.2657
ROS,ROS,Rosario,Rosario,Argentina,-32.903611,-60.785,ARS,0.1081,9.2657
SFN,SFN,Sauce Viejo,Santa Fe,Argentina,-31.711666,-60.811668,ARS,0.1081,9.2657
AEP,AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,-34.559175,-58.415606,ARS,0.1081,9.2657
COR,COR,Ambrosio L V Taravella,Cordoba,Argentina,-31.323619,-64.207953,ARS,0.1081,9.2657
LPG,LPG,La Plata,La Plata,Argentina,-34.972222,-57.894694,ARS,0.1081,9.2657
MDZ,MDZ,El Plumerillo,Mendoza,Argentina,-32.831717,-68.792856,ARS,0.1081,9.2657
LGS,LGS,Malargue,Malargue,Argentina,-35.493597,-69.574267,ARS,0.1081,9.2657
AFA,AFA,San Rafael,San Rafael,Argentina,-34.588314,-68.403854,ARS,0.1081,9.2657
CTC,CTC,Catamarca,Catamarca,Argentina,-28.593214,-65.750925,ARS,0.1081,9.2657
SDE,SDE,Santiago Del Estero,Santiago Del Estero,Argentina,-27.765617,-64.310122,ARS,0.1081,9.2657
IRJ,IRJ,La Rioja,La Rioja,Argentina,-29.381636,-66.795839,ARS,0.1081,9.2657
TUC,TUC,Teniente Benjamin Matienzo,Tucuman,Argentina,-26.840861,-65.104944,ARS,0.1081,9.2657
UAQ,UAQ,San Juan,San Julian,Argentina,-31.571472,-68.418194,ARS,0.1081,9.2657
RCU,RCU,Rio Cuarto Area De Material,Rio Cuarto,Argentina,-33.085128,-64.261314,ARS,0.1081,9.2657
VDR,VDR,Villa Dolores,Villa Dolores,Argentina,-31.945183,-65.146283,ARS,0.1081,9.2657
LUQ,LUQ,San Luis,San Luis,Argentina,-33.273192,-66.356422,ARS,0.1081,9.2657
CNQ,CNQ,Corrientes,Corrientes,Argentina,-27.445503,-58.761864,ARS,0.1081,9.2657
RES,RES,Resistencia,Resistencia,Argentina,-27.449986,-59.056125,ARS,0.1081,9.2657
FMA,FMA,Formosa,Formosa,Argentina,-26.212722,-58.228111,ARS,0.1081,9.2657
IGR,IGR,Cataratas Del Iguazu,Iguazu Falls,Argentina,-25.737281,-54.473444,ARS,0.1081,9.2657
AOL,AOL,Paso De Los Libres,Paso De Los Libres,Argentina,-29.689425,-57.152078,ARS,0.1081,9.2657
PSS,PSS,Posadas,Posadas,Argentina,-27.385839,-55.970728,ARS,0.1081,9.2657
SLA,SLA,Salta,Salta,Argentina,-24.855978,-65.486169,ARS,0.1081,9.2657
JUJ,JUJ,Jujuy,Jujuy,Argentina,-24.392778,-65.097778,ARS,0.1081,9.2657
ORA,ORA,Oran,Oran,Argentina,-23.152779,-64.32917,ARS,0.1081,9.2657
EHL,EHL,El Bolson,El Bolson,Argentina,-41.943189,-71.532289,ARS,0.1081,9.2657
CRD,CRD,Comodoro Rivadavia,Comodoro Rivadavia,Argentina,-45.785347,-67.465508,ARS,0.1081,9.2657
EQS,EQS,Esquel,Esquel,Argentina,-42.90795,-71.139472,ARS,0.1081,9.2657
REL,REL,Almirante Zar,Trelew,Argentina,-43.2105,-65.270319,ARS,0.1081,9.2657
VDM,VDM,Gobernador Castello,Viedma,Argentina,-40.869222,-63.000389,ARS,0.1081,9.2657
PMY,PMY,El Tehuelche,Puerto Madryn,Argentina,-42.759161,-65.102725,ARS,0.1081,9.2657
PUD,PUD,Puerto Deseado,Puerto Deseado,Argentina,-47.735292,-65.904097,ARS,0.1081,9.2657
RGA,RGA,Rio Grande,Rio Grande,Argentina,-53.777667,-67.749389,ARS,0.1081,9.2657
RGL,RGL,Rio Gallegos,Rio Gallegos,Argentina,-51.608875,-69.312636,ARS,0.1081,9.2657
USH,USH,Ushuaia Malvinas Argentinas,Ushuaia,Argentina,-54.843278,-68.29575,ARS,0.1081,9.2657
ULA,ULA,San Julian,San Julian,Argentina,-49.306775,-67.802589,ARS,0.1081,9.2657
PMQ,PMQ,Perito Moreno,Perito Moreno,Argentina,-46.537911,-70.978689,ARS,0.1081,9.2657
RZA,RZA,Santa Cruz,Santa Cruz,Argentina,-50.01655,-68.579197,ARS,0.1081,9.2657
BHI,BHI,Comandante Espora,Bahia Blanca,Argentina,-38.724967,-62.169317,ARS,0.1081,9.2657
MDQ,MDQ,Mar Del Plata,Mar Del Plata,Argentina,-37.934167,-57.573333,ARS,0.1081,9.2657
NQN,NQN,Presidente Peron,Neuquen,Argentina,-38.949,-68.155711,ARS,0.1081,9.2657
RSA,RSA,Santa Rosa,Santa Rosa,Argentina,-36.588322,-64.275694,ARS,0.1081,9.2657
BRC,BRC,San Carlos De Bariloche,San Carlos De Bariloche,Argentina,-41.151172,-71.157542,ARS,0.1081,9.2657
TDL,TDL,Tandil,Tandil,Argentina,-37.237392,-59.227922,ARS,0.1081,9.2657
VLG,VLG,Villa Gesell,Villa Gesell,Argentina,-37.235408,-57.029239,ARS,0.1081,9.2657
CPC,CPC,Aviador C Campos,San Martin Des Andes,Argentina,-40.075383,-71.137294,ARS,0.1081,9.2657
EZE,EZE,Ministro Pistarini,Buenos Aires,Argentina,-34.822222,-58.535833,ARS,0.1081,9.2657
FTE,FTE,El Calafate,El Calafate,Argentina,-50.280322,-72.053103,ARS,0.1081,9.2657
SST,SST,Santa Teresita Airport,Santa Teresita,Argentina,-36.542317,-56.721756,ARS,0.1081,9.2657
GGS,GGS,Gobernador Gregores Airport,Gobernador Gregores,Argentina,-48.7831,-70.15,ARS,0.1081,9.2657
OES,OES,Antoine De St Exupery Airport,San Antonio Oeste,Argentina,-40.7512,-65.0343,ARS,0.1081,9.2657
LHS,LHS,Las Heras Airport,Las Heras,Argentina,-46.533056,-68.951111,ARS,0.1081,9.2657
TTG,TTG,General Enrique Mosconi Airport,Tartagal,Argentina,-22.619167,-63.793189,ARS,0.1081,9.2657
NEC,NEC,Necochea Airport,Necochea,Argentina,-38.483056,-58.817222,ARS,0.1081,9.2657
ING,ING,Lago Argentino Airport,El Calafate,Argentina,-50.3361,-72.2486,ARS,0.1081,9.2657
APZ,APZ,ZAPALA,ZAPALA,Argentina,-38.9755,-70.113581,ARS,0.1081,9.2657
RDS,RDS,Rincon de los Sauces,Rincon de los Sauces,Argentina,-37.390617,-68.904211,ARS,0.1081,9.2657
OLN,OLN,Colonia Sarmiento,Colonia Sarmiento,Argentina,-45.6,-69.083333,ARS,0.1081,9.2657
RYO,RYO,Rio Turbio,Rio Turbio,Argentina,-51.533333,-72.3,ARS,0.1081,9.2657
CVI,CVI,Caleta Olivia,Caleta Olivia,Argentina,-46.4333,-67.5333,ARS,0.1081,9.2657
SGV,SGV,Sierra Grande,Sierra Grande,Argentina,-41.592,-65.341,ARS,0.1081,9.2657
IGB,IGB,Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,-41.3,-69.5833,ARS,0.1081,9.2657
ELX,ELX,El Chalten,El Chalten,Argentina,-49.328889,-72.93,ARS,0.1081,9.2657
RLO,RLO,Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,-32.349803,-65.179932,ARS,0.1081,9.2657
ARR,ARR,Alto Rio Senguer Airport,Alto Rio Senguer,Argentina,-45.016667,-70.816667,ARS,0.1081,9.2657
JSM,JSM,Jose de San Martin Airport,Jose de San Martin,Argentina,-44.016667,-70.466667,ARS,0.1081,9.2657
CFX,CFX,Gilberto Lavaque,Cafayate,Argentina,-26.06245,-65.932095,ARS,0.1081,9.2657
RHD,RHD,Termal,Rio Hondo,Argentina,-27.509946,-64.936666,ARS,0.1081,9.2657
MTL,MTL,Maitland Airport,Maitland,Australia,-32.7033,151.488,AUD,0.7253,1.3791
DGE,DGE,Mudgee Airport,Mudgee,Australia,-32.5625,149.611,AUD,0.7253,1.3791
WSY,WSY,Whitsunday Airstrip,Airlie Beach,Australia,-20.276,148.755,AUD,0.7253,1.3791
NSO,NSO,Scone Airport,Scone,Australia,-32.0372,150.832,AUD,0.7253,1.3791
CES,CES,Cessnock Airport,Cessnock,Australia,-32.7875,151.342,AUD,0.7253,1.3791
OKB,OKB,Orchid Beach,Fraser Island,Australia,-24.95841,153.3145,AUD,0.7253,1.3791
ABM,ABM,Bamaga Injinoo,Amberley,Australia,-10.950833,142.459444,AUD,0.7253,1.3791
ASP,ASP,Alice Springs,Alice Springs,Australia,-23.806667,133.902222,AUD,0.7253,1.3791
BNE,BNE,Brisbane Intl,Brisbane,Australia,-27.384167,153.1175,AUD,0.7253,1.3791
OOL,OOL,Gold Coast,Coolangatta,Australia,-28.164444,153.504722,AUD,0.7253,1.3791
CNS,CNS,Cairns Intl,Cairns,Australia,-16.885833,145.755278,AUD,0.7253,1.3791
CTL,CTL,Charleville,Charlieville,Australia,-26.413334,146.2625,AUD,0.7253,1.3791
ISA,ISA,Mount Isa,Mount Isa,Australia,-20.663889,139.488611,AUD,0.7253,1.3791
MCY,MCY,Sunshine Coast,Maroochydore,Australia,-26.603333,153.091111,AUD,0.7253,1.3791
MKY,MKY,Mackay,Mackay,Australia,-21.171667,149.179722,AUD,0.7253,1.3791
PPP,PPP,Proserpine Whitsunday Coast,Prosserpine,Australia,-20.495,148.552222,AUD,0.7253,1.3791
ROK,ROK,Rockhampton,Rockhampton,Australia,-23.381944,150.475278,AUD,0.7253,1.3791
TSV,TSV,Townsville,Townsville,Australia,-19.2525,146.765278,AUD,0.7253,1.3791
WEI,WEI,Weipa,Weipa,Australia,-12.678611,141.925278,AUD,0.7253,1.3791
AVV,AVV,Avalon,Avalon,Australia,-38.039444,144.469444,AUD,0.7253,1.3791
ABX,ABX,Albury,Albury,Australia,-36.067778,146.958056,AUD,0.7253,1.3791
MEB,MEB,Melbourne Essendon,Melbourne,Australia,-37.728056,144.901944,AUD,0.7253,1.3791
HBA,HBA,Hobart,Hobart,Australia,-42.836111,147.510278,AUD,0.7253,1.3791
LST,LST,Launceston,Launceston,Australia,-41.545278,147.214167,AUD,0.7253,1.3791
MBW,MBW,Melbourne Moorabbin,Melbourne,Australia,-37.975833,145.102222,AUD,0.7253,1.3791
MEL,MEL,Melbourne Intl,Melbourne,Australia,-37.673333,144.843333,AUD,0.7253,1.3791
ADL,ADL,Adelaide Intl,Adelaide,Australia,-34.945,138.530556,AUD,0.7253,1.3791
JAD,JAD,Perth Jandakot,Perth,Australia,-32.0975,115.881111,AUD,0.7253,1.3791
KTA,KTA,Karratha,Karratha,Australia,-20.712222,116.773333,AUD,0.7253,1.3791
KGI,KGI,Kalgoorlie Boulder,Kalgoorlie,Australia,-30.789444,121.461667,AUD,0.7253,1.3791
KNX,KNX,Kununurra,Kununurra,Australia,-15.778056,128.7075,AUD,0.7253,1.3791
LEA,LEA,Learmonth,Learmonth,Australia,-22.235556,114.088611,AUD,0.7253,1.3791
PHE,PHE,Port Hedland Intl,Port Hedland,Australia,-20.377778,118.626389,AUD,0.7253,1.3791
PER,PER,Perth Intl,Perth,Australia,-31.940278,115.966944,AUD,0.7253,1.3791
UMR,UMR,Woomera,Woomera,Australia,-31.144167,136.816944,AUD,0.7253,1.3791
BWU,BWU,Sydney Bankstown,Sydney,Australia,-33.924444,150.988333,AUD,0.7253,1.3791
CBR,CBR,Canberra,Canberra,Australia,-35.306944,149.195,AUD,0.7253,1.3791
CFS,CFS,Coffs Harbour,Coff's Harbour,Australia,-30.320556,153.116389,AUD,0.7253,1.3791
CDU,CDU,Camden,Camden,Australia,-34.040278,150.687222,AUD,0.7253,1.3791
DBO,DBO,Dubbo,Dubbo,Australia,-32.216667,148.574722,AUD,0.7253,1.3791
RCM,RCM,Richmond,Richmond,Australia,-33.600556,150.780833,AUD,0.7253,1.3791
SYD,SYD,Sydney Intl,Sydney,Australia,-33.946111,151.177222,AUD,0.7253,1.3791
TMW,TMW,Tamworth,Tamworth,Australia,-31.083889,150.846667,AUD,0.7253,1.3791
WGA,WGA,Wagga Wagga,Wagga Wagga,Australia,-35.165278,147.466389,AUD,0.7253,1.3791
EMD,EMD,Emerald,Emerald,Australia,-23.5675,148.179167,AUD,0.7253,1.3791
DRW,DRW,Darwin Intl,Darwin,Australia,-12.4083333,130.87266,AUD,0.7253,1.3791
AYQ,AYQ,Ayers Rock,Uluru,Australia,-25.186111,130.975556,AUD,0.7253,1.3791
KGC,KGC,Kingscote Airport,Kingscote,Australia,-35.713889,137.521389,AUD,0.7253,1.3791
HVB,HVB,Hervey Bay Airport,Hervey Bay,Australia,-25.318889,152.880278,AUD,0.7253,1.3791
ARM,ARM,Armidale,Armidale,Australia,-30.528056,151.617222,AUD,0.7253,1.3791
BKQ,BKQ,Blackall,Blackall,Australia,-24.427778,145.428611,AUD,0.7253,1.3791
BDB,BDB,Bundaberg,Bundaberg,Australia,-24.903889,152.318611,AUD,0.7253,1.3791
HIS,HIS,Hayman Island Airport,Hayman Island,Australia,-20.066668,148.86667,AUD,0.7253,1.3791
THG,THG,Thangool,Biloela,Australia,-24.493889,150.576111,AUD,0.7253,1.3791
BNK,BNK,Ballina Byron Gateway,Ballina Byron Bay,Australia,-28.833889,153.5625,AUD,0.7253,1.3791
BME,BME,Broome,Broome,Australia,-17.8,122.2,AUD,0.7253,1.3791
NTL,NTL,Newcastle Airport,Newcastle,Australia,-32.78,151.83,AUD,0.7253,1.3791
GUL,GUL,Goulburn Airport,Goulburn,Australia,-34.8103,149.726,AUD,0.7253,1.3791
ALH,ALH,Albany Airport,Albany,Australia,-34.9433,117.809,AUD,0.7253,1.3791
GYL,GYL,Argyle Airport,Argyle,Australia,-16.6369,128.451,AUD,0.7253,1.3791
AUU,AUU,Aurukun Airport,Aurukun,Australia,-13.3539,141.721,AUD,0.7253,1.3791
BCI,BCI,Barcaldine Airport,Barcaldine,Australia,-23.5653,145.307,AUD,0.7253,1.3791
BDD,BDD,Badu Island Airport,Badu Island,Australia,-10.15,141.175,AUD,0.7253,1.3791
BVI,BVI,Birdsville Airport,Birdsville,Australia,-25.8975,139.348,AUD,0.7253,1.3791
BHQ,BHQ,Broken Hill Airport,Broken Hill,Australia,-32.0014,141.472,AUD,0.7253,1.3791
HTI,HTI,Hamilton Island Airport,Hamilton Island,Australia,-20.3581,148.952,AUD,0.7253,1.3791
BEU,BEU,Bedourie Airport,Bedourie,Australia,-24.3461,139.46,AUD,0.7253,1.3791
BRK,BRK,Bourke Airport,Bourke,Australia,-30.0392,145.952,AUD,0.7253,1.3791
BUC,BUC,Burketown Airport,Burketown,Australia,-17.7486,139.534,AUD,0.7253,1.3791
GIC,GIC,Boigu Airport,Boigu,Australia,-9.23278,142.218,AUD,0.7253,1.3791
OKY,OKY,Oakey Airport,Oakey,Australia,-27.411389,151.735278,AUD,0.7253,1.3791
BQL,BQL,Boulia Airport,Boulia,Australia,-22.9133,139.9,AUD,0.7253,1.3791
BHS,BHS,Bathurst Airport,Bathurst,Australia,-33.4094,149.652,AUD,0.7253,1.3791
BLT,BLT,Blackwater Airport,Blackwater,Australia,-23.6031,148.807,AUD,0.7253,1.3791
CVQ,CVQ,Carnarvon Airport,Carnarvon,Australia,-24.8806,113.672,AUD,0.7253,1.3791
CAZ,CAZ,Cobar Airport,Cobar,Australia,-31.5383,145.794,AUD,0.7253,1.3791
CPD,CPD,Coober Pedy Airport,Coober Pedy,Australia,-29.04,134.721,AUD,0.7253,1.3791
CNC,CNC,Coconut Island Airport,Coconut Island,Australia,-10.05,143.07,AUD,0.7253,1.3791
CNJ,CNJ,Cloncurry Airport,Cloncurry,Australia,-20.6686,140.504,AUD,0.7253,1.3791
CED,CED,Ceduna Airport,Ceduna,Australia,-32.1306,133.71,AUD,0.7253,1.3791
CTN,CTN,Cooktown Airport,Cooktown,Australia,-15.4447,145.184,AUD,0.7253,1.3791
CMA,CMA,Cunnamulla Airport,Cunnamulla,Australia,-28.03,145.622,AUD,0.7253,1.3791
CNB,CNB,Coonamble Airport,Coonamble,Australia,-30.9833,148.376,AUD,0.7253,1.3791
CUQ,CUQ,Coen Airport,Coen,Australia,-13.7608,143.114,AUD,0.7253,1.3791
OOM,OOM,Cooma Snowy Mountains Airport,Cooma,Australia,-36.3006,148.974,AUD,0.7253,1.3791
DMD,DMD,Doomadgee Airport,Doomadgee,Australia,-17.9403,138.822,AUD,0.7253,1.3791
NLF,NLF,Darnley Island Airport,Darnley Island,Australia,-9.58333,143.767,AUD,0.7253,1.3791
DPO,DPO,Devonport Airport,Devonport,Australia,-41.1697,146.43,AUD,0.7253,1.3791
ELC,ELC,Elcho Island Airport,Elcho Island,Australia,-12.0194,135.571,AUD,0.7253,1.3791
EPR,EPR,Esperance Airport,Esperance,Australia,-33.6844,121.823,AUD,0.7253,1.3791
FLS,FLS,Flinders Island Airport,Flinders Island,Australia,-40.0917,147.993,AUD,0.7253,1.3791
GET,GET,Geraldton Airport,Geraldton,Australia,-28.7961,114.707,AUD,0.7253,1.3791
GLT,GLT,Gladstone Airport,Gladstone,Australia,-23.8697,151.223,AUD,0.7253,1.3791
GTE,GTE,Groote Eylandt Airport,Groote Eylandt,Australia,-13.975,136.46,AUD,0.7253,1.3791
GFF,GFF,Griffith Airport,Griffith,Australia,-34.2508,146.067,AUD,0.7253,1.3791
HID,HID,Horn Island Airport,Horn Island,Australia,-10.5864,142.29,AUD,0.7253,1.3791
HOK,HOK,Hooker Creek Airport,Hooker Creek,Australia,-18.3367,130.638,AUD,0.7253,1.3791
MHU,MHU,Mount Hotham Airport,Mount Hotham,Australia,-37.0475,147.334,AUD,0.7253,1.3791
HGD,HGD,Hughenden Airport,Hughenden,Australia,-20.815,144.225,AUD,0.7253,1.3791
JCK,JCK,Julia Creek Airport,Julia Creek,Australia,-20.6683,141.723,AUD,0.7253,1.3791
KAX,KAX,Kalbarri Airport,Kalbarri,Australia,-27.69,114.262,AUD,0.7253,1.3791
KNS,KNS,King Island Airport,King Island,Australia,-39.8775,143.878,AUD,0.7253,1.3791
KFG,KFG,Kalkgurung Airport,Kalkgurung,Australia,-17.4319,130.808,AUD,0.7253,1.3791
KRB,KRB,Karumba Airport,Karumba,Australia,-17.4567,140.83,AUD,0.7253,1.3791
KWM,KWM,Kowanyama Airport,Kowanyama,Australia,-15.4856,141.751,AUD,0.7253,1.3791
KUG,KUG,Kubin Airport,Kubin,Australia,-10.225,142.218,AUD,0.7253,1.3791
LNO,LNO,Leonora Airport,Leonora,Australia,-28.8781,121.315,AUD,0.7253,1.3791
LEL,LEL,Lake Evella Airport,Lake Evella,Australia,-12.4989,135.806,AUD,0.7253,1.3791
LDH,LDH,Lord Howe Island Airport,Lord Howe Island,Australia,-31.5383,159.077,AUD,0.7253,1.3791
IRG,IRG,Lockhart River Airport,Lockhart River,Australia,-12.7869,143.305,AUD,0.7253,1.3791
LSY,LSY,Lismore Airport,Lismore,Australia,-28.8303,153.26,AUD,0.7253,1.3791
LHG,LHG,Lightning Ridge Airport,Lightning Ridge,Australia,-29.4567,147.984,AUD,0.7253,1.3791
LRE,LRE,Longreach Airport,Longreach,Australia,-23.4342,144.28,AUD,0.7253,1.3791
LER,LER,Leinster Airport,Leinster,Australia,-27.8433,120.703,AUD,0.7253,1.3791
LVO,LVO,Laverton Airport,Laverton,Australia,-28.6136,122.424,AUD,0.7253,1.3791
UBB,UBB,Mabuiag Island Airport,Mabuiag Island,Australia,-9.95,142.183,AUD,0.7253,1.3791
MKR,MKR,Meekatharra Airport,Meekatharra,Australia,-26.6117,118.548,AUD,0.7253,1.3791
MIM,MIM,Merimbula Airport,Merimbula,Australia,-36.9086,149.901,AUD,0.7253,1.3791
MGT,MGT,Milingimbi Airport,Milingimbi,Australia,-12.0944,134.894,AUD,0.7253,1.3791
MNG,MNG,Maningrida Airport,Maningrida,Australia,-12.0561,134.234,AUD,0.7253,1.3791
MCV,MCV,McArthur River Mine Airport,McArthur River Mine,Australia,-16.4425,136.084,AUD,0.7253,1.3791
MQL,MQL,Mildura Airport,Mildura,Australia,-34.2292,142.086,AUD,0.7253,1.3791
MMG,MMG,Mount Magnet Airport,Mount Magnet,Australia,-28.1161,117.842,AUD,0.7253,1.3791
MRZ,MRZ,Moree Airport,Moree,Australia,-29.4989,149.845,AUD,0.7253,1.3791
MOV,MOV,Moranbah Airport,Moranbah,Australia,-22.0578,148.077,AUD,0.7253,1.3791
MYA,MYA,Moruya Airport,Moruya,Australia,-35.8978,150.144,AUD,0.7253,1.3791
MGB,MGB,Mount Gambier Airport,Mount Gambier,Australia,-37.7456,140.785,AUD,0.7253,1.3791
ONG,ONG,Mornington Island Airport,Mornington Island,Australia,-16.6625,139.178,AUD,0.7253,1.3791
MYI,MYI,Murray Island Airport,Murray Island,Australia,-9.91667,144.055,AUD,0.7253,1.3791
MBH,MBH,Maryborough Airport,Maryborough,Australia,-25.5133,152.715,AUD,0.7253,1.3791
NRA,NRA,Narrandera Airport,Narrandera,Australia,-34.7022,146.512,AUD,0.7253,1.3791
NAA,NAA,Narrabri Airport,Narrabri,Australia,-30.3192,149.827,AUD,0.7253,1.3791
NTN,NTN,Normanton Airport,Normanton,Australia,-17.6836,141.07,AUD,0.7253,1.3791
ZNE,ZNE,Newman Airport,Newman,Australia,-23.4178,119.803,AUD,0.7253,1.3791
OLP,OLP,Olympic Dam Airport,Olympic Dam,Australia,-30.485,136.877,AUD,0.7253,1.3791
PUG,PUG,Port Augusta Airport,Argyle,Australia,-32.506944,137.716667,AUD,0.7253,1.3791
PMK,PMK,Palm Island Airport,Palm Island,Australia,-18.7553,146.581,AUD,0.7253,1.3791
PBO,PBO,Paraburdoo Airport,Paraburdoo,Australia,-23.1711,117.745,AUD,0.7253,1.3791
GOV,GOV,Gove Airport,Gove,Australia,-12.2694,136.818,AUD,0.7253,1.3791
PKE,PKE,Parkes Airport,Parkes,Australia,-33.1314,148.239,AUD,0.7253,1.3791
