airportName,city,country,airportCode,lat,long,currency,currencyCode,toEuro,fromEuro
Gilberto Lavaque,Cafayate,Argentina,CFX,-26.06245,-65.932095,Argentine Peso,ARS,0.1081,9.2657
Corrientes,Corrientes,Argentina,CNQ,-27.445503,-58.761864,Argentine Peso,ARS,0.1081,9.2657
Comodoro Pierrestegui,Concordia,Argentina,COC,-31.296944,-57.996631,Argentine Peso,ARS,0.1081,9.2657
Ambrosio L V Taravella,Cordoba,Argentina,COR,-31.323619,-64.207953,Argentine Peso,ARS,0.1081,9.2657
Aviador C Campos,San Martin Des Andes,Argentina,CPC,-40.075383,-71.137294,Argentine Peso,ARS,0.1081,9.2657
Comodoro Rivadavia,Comodoro Rivadavia,Argentina,CRD,-45.785347,-67.465508,Argentine Peso,ARS,0.1081,9.2657
Catamarca,Catamarca,Argentina,CTC,-28.593214,-65.750925,Argentine Peso,ARS,0.1081,9.2657
Caleta Olivia,Caleta Olivia,Argentina,CVI,-46.4333,-67.5333,Argentine Peso,ARS,0.1081,9.2657
El Bolson,El Bolson,Argentina,EHL,-41.943189,-71.532289,Argentine Peso,ARS,0.1081,9.2657
El Chalten,El Chalten,Argentina,ELX,-49.328889,-72.93,Argentine Peso,ARS,0.1081,9.2657
Esquel,Esquel,Argentina,EQS,-42.90795,-71.139472,Argentine Peso,ARS,0.1081,9.2657
Ministro Pistarini,Buenos Aires,Argentina,EZE,-34.822222,-58.535833,Argentine Peso,ARS,0.1081,9.2657
Formosa,Formosa,Argentina,FMA,-26.212722,-58.228111,Argentine Peso,ARS,0.1081,9.2657
El Calafate,El Calafate,Argentina,FTE,-50.280322,-72.053103,Argentine Peso,ARS,0.1081,9.2657
Gobernador Gregores Airport,Gobernador Gregores,Argentina,GGS,-48.7831,-70.15,Argentine Peso,ARS,0.1081,9.2657
Gualeguaychu,Gualeguaychu,Argentina,GHU,-33.010278,-58.613056,Argentine Peso,ARS,0.1081,9.2657
Ingeniero Jacobacci,Ingeniero Jacobacci,Argentina,IGB,-41.3,-69.5833,Argentine Peso,ARS,0.1081,9.2657
Cataratas Del Iguazu,Iguazu Falls,Argentina,IGR,-25.737281,-54.473444,Argentine Peso,ARS,0.1081,9.2657
Lago Argentino Airport,El Calafate,Argentina,ING,-50.3361,-72.2486,Argentine Peso,ARS,0.1081,9.2657
La Rioja,La Rioja,Argentina,IRJ,-29.381636,-66.795839,Argentine Peso,ARS,0.1081,9.2657
Jose de San Martin Airport,Jose de San Martin,Argentina,JSM,-44.016667,-70.466667,Argentine Peso,ARS,0.1081,9.2657
Jujuy,Jujuy,Argentina,JUJ,-24.392778,-65.097778,Argentine Peso,ARS,0.1081,9.2657
Malargue,Malargue,Argentina,LGS,-35.493597,-69.574267,Argentine Peso,ARS,0.1081,9.2657
Las Heras Airport,Las Heras,Argentina,LHS,-46.533056,-68.951111,Argentine Peso,ARS,0.1081,9.2657
La Plata,La Plata,Argentina,LPG,-34.972222,-57.894694,Argentine Peso,ARS,0.1081,9.2657
San Luis,San Luis,Argentina,LUQ,-33.273192,-66.356422,Argentine Peso,ARS,0.1081,9.2657
Mar Del Plata,Mar Del Plata,Argentina,MDQ,-37.934167,-57.573333,Argentine Peso,ARS,0.1081,9.2657
El Plumerillo,Mendoza,Argentina,MDZ,-32.831717,-68.792856,Argentine Peso,ARS,0.1081,9.2657
Necochea Airport,Necochea,Argentina,NEC,-38.483056,-58.817222,Argentine Peso,ARS,0.1081,9.2657
Presidente Peron,Neuquen,Argentina,NQN,-38.949,-68.155711,Argentine Peso,ARS,0.1081,9.2657
Antoine De St Exupery Airport,San Antonio Oeste,Argentina,OES,-40.7512,-65.0343,Argentine Peso,ARS,0.1081,9.2657
Colonia Sarmiento,Colonia Sarmiento,Argentina,OLN,-45.6,-69.083333,Argentine Peso,ARS,0.1081,9.2657
Oran,Oran,Argentina,ORA,-23.152779,-64.32917,Argentine Peso,ARS,0.1081,9.2657
Perito Moreno,Perito Moreno,Argentina,PMQ,-46.537911,-70.978689,Argentine Peso,ARS,0.1081,9.2657
El Tehuelche,Puerto Madryn,Argentina,PMY,-42.759161,-65.102725,Argentine Peso,ARS,0.1081,9.2657
General Urquiza,Parana,Argentina,PRA,-31.794778,-60.480361,Argentine Peso,ARS,0.1081,9.2657
Posadas,Posadas,Argentina,PSS,-27.385839,-55.970728,Argentine Peso,ARS,0.1081,9.2657
Puerto Deseado,Puerto Deseado,Argentina,PUD,-47.735292,-65.904097,Argentine Peso,ARS,0.1081,9.2657
Aeropuerto de Rafaela,Rafaela,Argentina,RAF,-31.282072,-61.501594,Argentine Peso,ARS,0.1081,9.2657
Rio Cuarto Area De Material,Rio Cuarto,Argentina,RCU,-33.085128,-64.261314,Argentine Peso,ARS,0.1081,9.2657
Rincon de los Sauces,Rincon de los Sauces,Argentina,RDS,-37.390617,-68.904211,Argentine Peso,ARS,0.1081,9.2657
Almirante Zar,Trelew,Argentina,REL,-43.2105,-65.270319,Argentine Peso,ARS,0.1081,9.2657
Resistencia,Resistencia,Argentina,RES,-27.449986,-59.056125,Argentine Peso,ARS,0.1081,9.2657
Rio Grande,Rio Grande,Argentina,RGA,-53.777667,-67.749389,Argentine Peso,ARS,0.1081,9.2657
Rio Gallegos,Rio Gallegos,Argentina,RGL,-51.608875,-69.312636,Argentine Peso,ARS,0.1081,9.2657
Termal,Rio Hondo,Argentina,RHD,-27.509946,-64.936666,Argentine Peso,ARS,0.1081,9.2657
Zvartnots,Yerevan,Armenia,EVN,40.147275,44.395881,Armenian Dram,AMD,0.001981,505.005
Gyumri,Gyumri,Armenia,LWN,40.750369,43.859342,Armenian Dram,AMD,0.001981,505.005
Fitiuta Airport,Fiti\\'uta,American Samoa,FTI,-14.216111,-169.423611,US Dollar,USD,0.9488,1.0541
Ofu Airport,Ofu,American Samoa,OFU,-14.184444,-169.67,US Dollar,USD,0.9488,1.0541
Pago Pago Intl,Pago Pago,American Samoa,PPG,-14.331,-170.7105,US Dollar,USD,0.9488,1.0541
V C Bird Intl,Antigua,Antigua and Barbuda,ANU,17.136749,-61.792667,East Caribbean Dollar,XCD,0.353,2.8638
Codrington Airport,Codrington,Antigua and Barbuda,BBQ,17.6358,-61.8286,East Caribbean Dollar,XCD,0.353,2.8638
Bamaga Injinoo,Amberley,Australia,ABM,-10.950833,142.459444,Australian Dollar,AUD,0.7253,1.3791
Albury,Albury,Australia,ABX,-36.067778,146.958056,Australian Dollar,AUD,0.7253,1.3791
Adelaide Intl,Adelaide,Australia,ADL,-34.945,138.530556,Australian Dollar,AUD,0.7253,1.3791
Albany Airport,Albany,Australia,ALH,-34.9433,117.809,Australian Dollar,AUD,0.7253,1.3791
Armidale,Armidale,Australia,ARM,-30.528056,151.617222,Australian Dollar,AUD,0.7253,1.3791
Alice Springs,Alice Springs,Australia,ASP,-23.806667,133.902222,Australian Dollar,AUD,0.7253,1.3791
Aurukun Airport,Aurukun,Australia,AUU,-13.3539,141.721,Australian Dollar,AUD,0.7253,1.3791
Avalon,Avalon,Australia,AVV,-38.039444,144.469444,Australian Dollar,AUD,0.7253,1.3791
Ayers Rock,Uluru,Australia,AYQ,-25.186111,130.975556,Australian Dollar,AUD,0.7253,1.3791
Barcaldine Airport,Barcaldine,Australia,BCI,-23.5653,145.307,Australian Dollar,AUD,0.7253,1.3791
Bundaberg,Bundaberg,Australia,BDB,-24.903889,152.318611,Australian Dollar,AUD,0.7253,1.3791
Badu Island Airport,Badu Island,Australia,BDD,-10.15,141.175,Australian Dollar,AUD,0.7253,1.3791
Belmont Airport,Lake Macquarie,Australia,BEO,-33.066667,151.648333,Australian Dollar,AUD,0.7253,1.3791
Bedourie Airport,Bedourie,Australia,BEU,-24.3461,139.46,Australian Dollar,AUD,0.7253,1.3791
Broken Hill Airport,Broken Hill,Australia,BHQ,-32.0014,141.472,Australian Dollar,AUD,0.7253,1.3791
Bathurst Airport,Bathurst,Australia,BHS,-33.4094,149.652,Australian Dollar,AUD,0.7253,1.3791
Blackall,Blackall,Australia,BKQ,-24.427778,145.428611,Australian Dollar,AUD,0.7253,1.3791
Blackwater Airport,Blackwater,Australia,BLT,-23.6031,148.807,Australian Dollar,AUD,0.7253,1.3791
Broome,Broome,Australia,BME,-17.8,122.2,Australian Dollar,AUD,0.7253,1.3791
Brampton Island,Brampton Island,Australia,BMP,-20.8044444,149.2794444,Australian Dollar,AUD,0.7253,1.3791
Brisbane Intl,Brisbane,Australia,BNE,-27.384167,153.1175,Australian Dollar,AUD,0.7253,1.3791
Ballina Byron Gateway,Ballina Byron Bay,Australia,BNK,-28.833889,153.5625,Australian Dollar,AUD,0.7253,1.3791
Brusselton,Brusselton,Australia,BQB,-33.687222,115.400278,Australian Dollar,AUD,0.7253,1.3791
Boulia Airport,Boulia,Australia,BQL,-22.9133,139.9,Australian Dollar,AUD,0.7253,1.3791
Bourke Airport,Bourke,Australia,BRK,-30.0392,145.952,Australian Dollar,AUD,0.7253,1.3791
Bathurst Island Airport,Bathurst Island,Australia,BRT,-11.769167,130.619722,Australian Dollar,AUD,0.7253,1.3791
Bairnsdale Airport,Bairnsdale,Australia,BSJ,-37.8875,147.567778,Australian Dollar,AUD,0.7253,1.3791
Burketown Airport,Burketown,Australia,BUC,-17.7486,139.534,Australian Dollar,AUD,0.7253,1.3791
Birdsville Airport,Birdsville,Australia,BVI,-25.8975,139.348,Australian Dollar,AUD,0.7253,1.3791
Barrow Island Airport,Barrow Island,Australia,BWB,-20.798,115.406,Australian Dollar,AUD,0.7253,1.3791
Wynyard Airport,Burnie,Australia,BWT,-40.9989,145.731,Australian Dollar,AUD,0.7253,1.3791
Sydney Bankstown,Sydney,Australia,BWU,-33.924444,150.988333,Australian Dollar,AUD,0.7253,1.3791
Cobar Airport,Cobar,Australia,CAZ,-31.5383,145.794,Australian Dollar,AUD,0.7253,1.3791
Canberra,Canberra,Australia,CBR,-35.306944,149.195,Australian Dollar,AUD,0.7253,1.3791
Chinchilla,Chinchilla,Australia,CCL,-26.769444,150.616667,Australian Dollar,AUD,0.7253,1.3791
Cooinda,Cooinda,Australia,CDA,-12.9033,132.532,Australian Dollar,AUD,0.7253,1.3791
Camden,Camden,Australia,CDU,-34.040278,150.687222,Australian Dollar,AUD,0.7253,1.3791
Ceduna Airport,Ceduna,Australia,CED,-32.1306,133.71,Australian Dollar,AUD,0.7253,1.3791
Cessnock Airport,Cessnock,Australia,CES,-32.7875,151.342,Australian Dollar,AUD,0.7253,1.3791
Coffs Harbour,Coff's Harbour,Australia,CFS,-30.320556,153.116389,Australian Dollar,AUD,0.7253,1.3791
Cunnamulla Airport,Cunnamulla,Australia,CMA,-28.03,145.622,Australian Dollar,AUD,0.7253,1.3791
Coonamble Airport,Coonamble,Australia,CNB,-30.9833,148.376,Australian Dollar,AUD,0.7253,1.3791
Coconut Island Airport,Coconut Island,Australia,CNC,-10.05,143.07,Australian Dollar,AUD,0.7253,1.3791
Cloncurry Airport,Cloncurry,Australia,CNJ,-20.6686,140.504,Australian Dollar,AUD,0.7253,1.3791
Cairns Intl,Cairns,Australia,CNS,-16.885833,145.755278,Australian Dollar,AUD,0.7253,1.3791
Coonabarabran,Coonabarabran,Australia,COJ,-31.337221,149.27194,Australian Dollar,AUD,0.7253,1.3791
Coober Pedy Airport,Coober Pedy,Australia,CPD,-29.04,134.721,Australian Dollar,AUD,0.7253,1.3791
Charleville,Charlieville,Australia,CTL,-26.413334,146.2625,Australian Dollar,AUD,0.7253,1.3791
Cooktown Airport,Cooktown,Australia,CTN,-15.4447,145.184,Australian Dollar,AUD,0.7253,1.3791
Coen Airport,Coen,Australia,CUQ,-13.7608,143.114,Australian Dollar,AUD,0.7253,1.3791
Carnarvon Airport,Carnarvon,Australia,CVQ,-24.8806,113.672,Australian Dollar,AUD,0.7253,1.3791
Dubbo,Dubbo,Australia,DBO,-32.216667,148.574722,Australian Dollar,AUD,0.7253,1.3791
Mudgee Airport,Mudgee,Australia,DGE,-32.5625,149.611,Australian Dollar,AUD,0.7253,1.3791
Dunk Island Airport,Dunk Island,Australia,DKI,-17.939722,146.141944,Australian Dollar,AUD,0.7253,1.3791
Doomadgee Airport,Doomadgee,Australia,DMD,-17.9403,138.822,Australian Dollar,AUD,0.7253,1.3791
Devonport Airport,Devonport,Australia,DPO,-41.1697,146.43,Australian Dollar,AUD,0.7253,1.3791
Derby Airport,Derby,Australia,DRB,-17.39,123.68,Australian Dollar,AUD,0.7253,1.3791
Darwin Intl,Darwin,Australia,DRW,-12.4083333,130.87266,Australian Dollar,AUD,0.7253,1.3791
Pormpuraaw Airport,Pormpuraaw,Australia,EDR,-14.8967,141.609,Australian Dollar,AUD,0.7253,1.3791
Elcho Island Airport,Elcho Island,Australia,ELC,-12.0194,135.571,Australian Dollar,AUD,0.7253,1.3791
Emerald,Emerald,Australia,EMD,-23.5675,148.179167,Australian Dollar,AUD,0.7253,1.3791
Esperance Airport,Esperance,Australia,EPR,-33.6844,121.823,Australian Dollar,AUD,0.7253,1.3791
Exmouth Airport,Exmouth,Australia,EXM,-21.933,114.128,Australian Dollar,AUD,0.7253,1.3791
Fitzroy Crossing Airport,Fitzroy Crossing,Australia,FIZ,-18.178,125.591,Australian Dollar,AUD,0.7253,1.3791
Flinders Island Airport,Flinders Island,Australia,FLS,-40.0917,147.993,Australian Dollar,AUD,0.7253,1.3791
Gayndah,Gayndah,Australia,GAH,-25.61528,151.62083,Australian Dollar,AUD,0.7253,1.3791
Geraldton Airport,Geraldton,Australia,GET,-28.7961,114.707,Australian Dollar,AUD,0.7253,1.3791
Geelong Airport,Geelong,Australia,GEX,-38.225,144.333,Australian Dollar,AUD,0.7253,1.3791
Griffith Airport,Griffith,Australia,GFF,-34.2508,146.067,Australian Dollar,AUD,0.7253,1.3791
Grafton Airport,Grafton,Australia,GFN,-29.7594,153.03,Australian Dollar,AUD,0.7253,1.3791
Boigu Airport,Boigu,Australia,GIC,-9.23278,142.218,Australian Dollar,AUD,0.7253,1.3791
Great Keppel Island,Great Keppel Island,Australia,GKL,-23.186,150.943,Australian Dollar,AUD,0.7253,1.3791
Glen Innes,Glen Innes,Australia,GLI,-29.675,151.69,Australian Dollar,AUD,0.7253,1.3791
Gladstone Airport,Gladstone,Australia,GLT,-23.8697,151.223,Australian Dollar,AUD,0.7253,1.3791
Gove Airport,Gove,Australia,GOV,-12.2694,136.818,Australian Dollar,AUD,0.7253,1.3791
Groote Eylandt Airport,Groote Eylandt,Australia,GTE,-13.975,136.46,Australian Dollar,AUD,0.7253,1.3791
Goulburn Airport,Goulburn,Australia,GUL,-34.8103,149.726,Australian Dollar,AUD,0.7253,1.3791
Argyle Airport,Argyle,Australia,GYL,-16.6369,128.451,Australian Dollar,AUD,0.7253,1.3791
Hobart,Hobart,Australia,HBA,-42.836111,147.510278,Australian Dollar,AUD,0.7253,1.3791
Halls Creek Airport,Halls Creek,Australia,HCQ,-18.233889,127.669722,Australian Dollar,AUD,0.7253,1.3791
Hughenden Airport,Hughenden,Australia,HGD,-20.815,144.225,Australian Dollar,AUD,0.7253,1.3791
Horn Island Airport,Horn Island,Australia,HID,-10.5864,142.29,Australian Dollar,AUD,0.7253,1.3791
Hayman Island Airport,Hayman Island,Australia,HIS,-20.066668,148.86667,Australian Dollar,AUD,0.7253,1.3791
Hamilton Airport,Hamilton,Australia,HLT,-37.648889,142.065278,Australian Dollar,AUD,0.7253,1.3791
Hooker Creek Airport,Hooker Creek,Australia,HOK,-18.3367,130.638,Australian Dollar,AUD,0.7253,1.3791
Heron Island,Heron Island,Australia,HRN,-23.441667,151.911389,Australian Dollar,AUD,0.7253,1.3791
Hamilton Island Airport,Hamilton Island,Australia,HTI,-20.3581,148.952,Australian Dollar,AUD,0.7253,1.3791
Hervey Bay Airport,Hervey Bay,Australia,HVB,-25.318889,152.880278,Australian Dollar,AUD,0.7253,1.3791
Innisfail,Innisfail,Australia,IFL,-17.55908,146.01123,Australian Dollar,AUD,0.7253,1.3791
Lockhart River Airport,Lockhart River,Australia,IRG,-12.7869,143.305,Australian Dollar,AUD,0.7253,1.3791
Mount Isa,Mount Isa,Australia,ISA,-20.663889,139.488611,Australian Dollar,AUD,0.7253,1.3791
Inverell,Inverell,Australia,IVR,-29.888333,151.144167,Australian Dollar,AUD,0.7253,1.3791
Jabiru,Jabiru,Australia,JAB,-12.6571,132.893,Australian Dollar,AUD,0.7253,1.3791
Perth Jandakot,Perth,Australia,JAD,-32.0975,115.881111,Australian Dollar,AUD,0.7253,1.3791
Julia Creek Airport,Julia Creek,Australia,JCK,-20.6683,141.723,Australian Dollar,AUD,0.7253,1.3791
Shute Harbour,Shute Harbour,Australia,JHQ,-20.278299,148.757004,Australian Dollar,AUD,0.7253,1.3791
Kalbarri Airport,Kalbarri,Australia,KAX,-27.69,114.262,Australian Dollar,AUD,0.7253,1.3791
Dave Forest Airport,Cloudbreak,Australia,KFE,-22.291945,119.437225,Australian Dollar,AUD,0.7253,1.3791
Kalkgurung Airport,Kalkgurung,Australia,KFG,-17.4319,130.808,Australian Dollar,AUD,0.7253,1.3791
Kingscote Airport,Kingscote,Australia,KGC,-35.713889,137.521389,Australian Dollar,AUD,0.7253,1.3791
Kalgoorlie Boulder,Kalgoorlie,Australia,KGI,-30.789444,121.461667,Australian Dollar,AUD,0.7253,1.3791
King Island Airport,King Island,Australia,KNS,-39.8775,143.878,Australian Dollar,AUD,0.7253,1.3791
Kununurra,Kununurra,Australia,KNX,-15.778056,128.7075,Australian Dollar,AUD,0.7253,1.3791
Karumba Airport,Karumba,Australia,KRB,-17.4567,140.83,Australian Dollar,AUD,0.7253,1.3791
Karratha,Karratha,Australia,KTA,-20.712222,116.773333,Australian Dollar,AUD,0.7253,1.3791
Tindal Airport,Katherine,Australia,KTR,-14.5211,132.378,Australian Dollar,AUD,0.7253,1.3791
Kubin Airport,Kubin,Australia,KUG,-10.225,142.218,Australian Dollar,AUD,0.7253,1.3791
Kowanyama Airport,Kowanyama,Australia,KWM,-15.4856,141.751,Australian Dollar,AUD,0.7253,1.3791
Lord Howe Island Airport,Lord Howe Island,Australia,LDH,-31.5383,159.077,Australian Dollar,AUD,0.7253,1.3791
Learmonth,Learmonth,Australia,LEA,-22.235556,114.088611,Australian Dollar,AUD,0.7253,1.3791
Lake Evella Airport,Lake Evella,Australia,LEL,-12.4989,135.806,Australian Dollar,AUD,0.7253,1.3791
Leinster Airport,Leinster,Australia,LER,-27.8433,120.703,Australian Dollar,AUD,0.7253,1.3791
Lightning Ridge Airport,Lightning Ridge,Australia,LHG,-29.4567,147.984,Australian Dollar,AUD,0.7253,1.3791
Leonora Airport,Leonora,Australia,LNO,-28.8781,121.315,Australian Dollar,AUD,0.7253,1.3791
Longreach Airport,Longreach,Australia,LRE,-23.4342,144.28,Australian Dollar,AUD,0.7253,1.3791
Launceston,Launceston,Australia,LST,-41.545278,147.214167,Australian Dollar,AUD,0.7253,1.3791
Lismore Airport,Lismore,Australia,LSY,-28.8303,153.26,Australian Dollar,AUD,0.7253,1.3791
Laverton Airport,Laverton,Australia,LVO,-28.6136,122.424,Australian Dollar,AUD,0.7253,1.3791
Lady Elliot Island,Lady Elliot Island,Australia,LYT,-24.113333,152.715278,Australian Dollar,AUD,0.7253,1.3791
Lizard Island Airport,Lizard Island,Australia,LZR,-14.673056,145.454444,Australian Dollar,AUD,0.7253,1.3791
Maryborough Airport,Maryborough,Australia,MBH,-25.5133,152.715,Australian Dollar,AUD,0.7253,1.3791
Melbourne Moorabbin,Melbourne,Australia,MBW,-37.975833,145.102222,Australian Dollar,AUD,0.7253,1.3791
McArthur River Mine Airport,McArthur River Mine,Australia,MCV,-16.4425,136.084,Australian Dollar,AUD,0.7253,1.3791
Sunshine Coast,Maroochydore,Australia,MCY,-26.603333,153.091111,Australian Dollar,AUD,0.7253,1.3791
Melbourne Essendon,Melbourne,Australia,MEB,-37.728056,144.901944,Australian Dollar,AUD,0.7253,1.3791
Melbourne Intl,Melbourne,Australia,MEL,-37.673333,144.843333,Australian Dollar,AUD,0.7253,1.3791
Mount Gambier Airport,Mount Gambier,Australia,MGB,-37.7456,140.785,Australian Dollar,AUD,0.7253,1.3791
Milingimbi Airport,Milingimbi,Australia,MGT,-12.0944,134.894,Australian Dollar,AUD,0.7253,1.3791
Mount Hotham Airport,Mount Hotham,Australia,MHU,-37.0475,147.334,Australian Dollar,AUD,0.7253,1.3791
Merimbula Airport,Merimbula,Australia,MIM,-36.9086,149.901,Australian Dollar,AUD,0.7253,1.3791
Shark Bay Airport,Shark Bay,Australia,MJK,-25.8939,113.577,Australian Dollar,AUD,0.7253,1.3791
Meekatharra Airport,Meekatharra,Australia,MKR,-26.6117,118.548,Australian Dollar,AUD,0.7253,1.3791
Mackay,Mackay,Australia,MKY,-21.171667,149.179722,Australian Dollar,AUD,0.7253,1.3791
Mount Magnet Airport,Mount Magnet,Australia,MMG,-28.1161,117.842,Australian Dollar,AUD,0.7253,1.3791
Maningrida Airport,Maningrida,Australia,MNG,-12.0561,134.234,Australian Dollar,AUD,0.7253,1.3791
Moomba,Moomba,Australia,MOO,-28.1,140.2,Australian Dollar,AUD,0.7253,1.3791
Moranbah Airport,Moranbah,Australia,MOV,-22.0578,148.077,Australian Dollar,AUD,0.7253,1.3791
Mildura Airport,Mildura,Australia,MQL,-34.2292,142.086,Australian Dollar,AUD,0.7253,1.3791
Moree Airport,Moree,Australia,MRZ,-29.4989,149.845,Australian Dollar,AUD,0.7253,1.3791
Maitland Airport,Maitland,Australia,MTL,-32.7033,151.488,Australian Dollar,AUD,0.7253,1.3791
Morawa Airport,Morawa,Australia,MWB,-29.211,116.009,Australian Dollar,AUD,0.7253,1.3791
Moruya Airport,Moruya,Australia,MYA,-35.8978,150.144,Australian Dollar,AUD,0.7253,1.3791
Murray Island Airport,Murray Island,Australia,MYI,-9.91667,144.055,Australian Dollar,AUD,0.7253,1.3791
Narrabri Airport,Narrabri,Australia,NAA,-30.3192,149.827,Australian Dollar,AUD,0.7253,1.3791
Darnley Island Airport,Darnley Island,Australia,NLF,-9.58333,143.767,Australian Dollar,AUD,0.7253,1.3791
Nowra Airport,Nowra,Australia,NOA,-34.9489,150.537,Australian Dollar,AUD,0.7253,1.3791
Narrandera Airport,Narrandera,Australia,NRA,-34.7022,146.512,Australian Dollar,AUD,0.7253,1.3791
Scone Airport,Scone,Australia,NSO,-32.0372,150.832,Australian Dollar,AUD,0.7253,1.3791
Newcastle Airport,Newcastle,Australia,NTL,-32.78,151.83,Australian Dollar,AUD,0.7253,1.3791
Normanton Airport,Normanton,Australia,NTN,-17.6836,141.07,Australian Dollar,AUD,0.7253,1.3791
